"producto","presentacion","marca","categoria","catalogo","precio","fechaRegistro","cadenaComercial","giro","nombreComercial","direccion","estado","municipio","latitud","longitud"
"CARNE POLLO","1 KG. GRANEL. ENTERO. CON VICERAS O TIPO SUPER","S/M","CARNE DE AVE","BASICOS",29.9,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"CARNE CERDO","1 KG. GRANEL. CHULETA AHUMADA O ENTRECOT AHUMADO","S/M","CARNE Y VISCERAS DE CERDO","BASICOS",69,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"CARNE RES","1 KG. GRANEL. FILETE LIMPIO","S/M","CARNE Y VISCERAS DE RES","BASICOS",225,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"SHAMPOO","BOTELLA 400 ML. PROTECCION CAIDA","HEAD & SHOULDERS","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",39,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"PAÑALES DESECHABLES","PAQUETE 38 PIEZAS. ETAPA 4. NIÑA","HUGGIES. ULTRA CONFORT","ARTS. DE PAPEL P/HIGIENE PERSONAL","BASICOS",170,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"ACONDICIONADOR / ENJUAGUE","BOTELLA 350 ML. ORIGINAL. HUMECTANTE","FOLICURE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",53,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"ACONDICIONADOR Y ENJUAGUE","BOTELLA 300 ML. FRUCTIS. STOP CAIDA","GARNIER","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",35,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"TINTE PARA EL CABELLO","CAJA","REVITALIQUE. 4","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",74,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"TINTE PARA EL CABELLO","CAJA","WELLA KOLESTON. 40","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",58,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"TINTE PARA EL CABELLO","CAJA","GARNIER. NUTRISSE. 40","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",58,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"RASTRILLOS DESECHABLES","PAQUETE CON 2. PRESTO BARBA. PIEL SENSIBLE","GILLETTE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",30,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"DESODORANTE","ROLL ON 65 ML. NEUTRO BALANCE (BOTELLA TRANSPARENTE)","PALMOLIVE","ARTS. PARA EL CUIDADO PERSONAL","BASICOS",24,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
"CANELA","BOLSA 50 GR. EN RAMA","VERDE VALLE","PRODUCTOS DE TEMPORADA (NAVIDEÐOS)","BASICOS",25,"2011-01-10 00:00:00.000","WAL-MART","TIENDA DE AUTOSERVICIO","WAL MART SUCURSAL ECHEGARAY","EMILIANO ZAPATA NO. 7     ENTRE REFORMA Y CUAUHTEMOC","MÉXICO","NAUCALPAN                               ",19.483909,-99.23318
