producto|presentacion|marca|categoria|catalogo|precio|fecharegistro|cadenacomercial|giro|nombrecomercial|direccion|estado|municipio|latitud|longitud
jugo de fruta|caja 1 lt mango|boing!|refrescos envasados|basicos|88|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
jugo de fruta|caja 1 lt naranja|florida 7|refrescos envasados|basicos|972|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
cafe tostado y molido|bolsa 400 gr|legal mezclado con azucar|cafe|basicos|4094|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
cafe soluble|frasco 200 gr roja con azucar|legal|cafe|mercados|379|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
gelatina en polvo|bolsa 35 gr agua limon|jell-o|chocolates y golosinas|basicos|935|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
polvo p/preparar bebidas|sobre 25 gr|tang no necesita azucar|chocolates y golosinas|mercados|3|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
polvo p/hornear|bote 454 gr|royal|condimentos|basicos|1989|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
nuez|1 kg granel en mitades|s/m|condimentos|basicos|2375|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
salsa catsup|botella 400 gr plastico|la costena|condimentos|basicos|145|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
mole rojo en pasta|vaso 235 gr|dona maria|condimentos|mercados|203|2011-01-10 00:00:00000|comercial mexicana|tienda de autoservicio|comercial mexicana sucursal villas de la hacienda|av lago de guadalupe s/n esq de las villas|mexico|atizapan                                |na|na
